review_no,accom_no,user_no,accom_nm,content,review_rate1,review_rate2,review_rate3
43f61fa6,9b0057ac,b9677a1e,세인트존스 호텔,지은지 얼마안되서 그런지 실내 인테리어도 좋았고 침대시트 등 모든것이 만족하였다. 위치도 아주 좋아서 밤에 산책하기도 좋았고 직원들 대부분 친절하였다.,100,100,100
694f3882,9b0057ac,956bc8bc,세인트존스 호텔,1. 시티뷰를 결제했는데 오션뷰를 주더라구요 한달 전에 예약한 거여서 몰랐는데 나중에 확인해보니까 잘못 주신거였더라구요 그게 가장 큰 행운이었어요 오션뷰가 아니었다면 여행에서 느꼈던 흥이 반절 이상 떨어졌을테니까요 그만큼 이 호텔의 최고 장점은 오션뷰 입니다 꼭 오션뷰하세요2. 수영장은 인스타용입니다 수영하려고 가지 마세요 사진 찍으러 가세요 그래도 사진은 정말 잘 나옵니다 아침 7시에 갔는데 7시 되기 전에 줄을 서면 사람이 별로 없긴한데 금방 30명 정도 들어와요 선베드 이런거 구매하지 마세요 1시간도 못 버틸테니까 3. 객실 정말 깨끗하구 수건도 달라는대로 많이 주시고요 배달음식이나 와부 음식 가져가도 돼요4. 체크인은 4시에 했는데 30분정도 걸렸어요 체크아웃은 체크인보다 나아요5. 자가차가 없으시면 택시를 타실텐데 주말이어서 그런지 모르겠지만 콜택시 전화 안 받구요 거리가 10분 정도 되는 거리면 카카오택시도 안 잡혀요 그래서 스마트 콜이라고 1000원 더 주는 카카오택시 불렀는데 그러면 즉각 오시더라구요 안그러면  호텔에서 사람이 내리는 택시만을 기다려야해요 물론 그 택시조차 손님이 내리자마자 예약을 잡아버려서 못 탈 수도 있지만요,100,100,100
c6756abd,9b0057ac,41376307,세인트존스 호텔,객실도 넓고 좋았어요~~~,100,100,100
7b98fef9,9b0057ac,0b4c9081,세인트존스 호텔,"일단 체크인 줄 굉장히 깁니다. 입실시간 최소 30분 전에 줄 서야 4시 겨우 넘어 체크인 할 수 있어요..  체크인하고 뷰 감상을 위해 테라스에 나가봤는데 전 투숙객들이 먹고 버린 컵라면과 쓰레기가 한 귀퉁이에 고이 모셔져 있더라구요 보고 식겁했습니다.. 객실 내부만 청소 열심히 하시나봐요ㅠ 기분나쁨도 잠시, 뷰를 보니 천국이 따로없습니다ㅎ 날씨가 좋아서 그런지 바다도 굉장히 맑고 파도소리도 들려 좋았습니다. 마침 투숙했던 날짜가 한일전 하는 날짜라 친구와 치맥먹으며 재밌게 놀았네여 치맥 후 수영장을 들어갔습니다. 밤이 되니 약간 쌀쌀해서 춥진 않을까 걱정했는데 다행히 물은 그리 차갑지 않았고 사람도 굉장히 많다는 리뷰 걱정과는 다르게 축구 끝나기 전이라 그런지 사람도 많지 않더라구여 밤바다도 굉장히 예뻤습니다. 조식 먹기위해 아침부터 줄서긴 싫어서 7시 반쯤 내려갔습니다. 음식 종류도 여러가지 있고 전체적으로 맛있었습니다. 체크아웃도 30분 전에 내려가서 그런지 시간 들이지 않고 금방 완료했습니다. 재 방문 의사 있습니다!",100,100,40
58f50b9e,9b0057ac,2fc2aed9,세인트존스 호텔,늦은휴가를위해 검색도중 인피니티풀이 핫하다는  세인트존스호텔이 인기가많길래 결정했습니다!9월이라 사람이없을줄알앗는데 엄청많더라구요체크인하는데 줄이 어마어마했음..다들 미리와서 기다리시더라구요~체크인시간 전에 미리가서 기다리는걸 추천합니다!우선 숙소 청결도는 매우좋았고요  딱히 불만족스러운점은 없었어요!그리고 침대가..정말 예술입니다....잠자리 예민한 저도 완전꿀잠잣어요ㅋㅋㅋ아 그리고 슬리퍼..정말보드랍고 최고입니다ㅋㅋㅋ샤워용품 다떨어져서 프론트에 말했더니 객실까지가져다주셨구요수건도 부족해서 말했더니 프론트에서 바로주셨습니다!저는 이호텔에서 제일만에들었던게 바로 세심함!애견식수가 곳곳에 놓여있는걸보고  애견인으로써 매우감동받았습니다!나중에 아기들데리고 다시방문하고싶을정도에요!댓글보고 엘레베이터 걱정많이했는데 큰불편함은 없었구요다만 인티니티풀로 가는 통로가 하나여서 불편했어요ㅠㅠ다놀고 숙소로돌아가는길에 연결통로 문이 잠겨서..1층으로 내려가서 삥돌아갔네요ㅠㅠ인피니티풀은 생각보다는 작았는데 노는데는 딱좋은크기였던거 같아요 물온도도 적당하고~다들 인생샷찍으시느냐고 야자수나무앞이 엄청복잡했지만~늦은밤시간대여서그런지 애기들도없고 커플분들만 엄청많았다는..식사는 호텔 맞은편?차로1~2분 걸리는 근처에 순두부집있어서 거기서해결했네요~순두부전골 강추!!좋은 추억이되었고 기회되면 기념일에 재방문하고 싶어요!,100,100,100
306a411e,9b0057ac,cff3c463,세인트존스 호텔,규모크고 객실깨끗하고 직원들 친절함.내일 조식 기대됨,100,100,100
43537074,9b0057ac,a07685e6,세인트존스 호텔,비수기에 가서 사람도별로없고 시설도 깔끔하고 외관도 크니 고급호텔에서 잘묵었단생각이드네요 근처에 편의시설이 다양하진않지만 계속 생기는걸보니 추후가 더많이기대되는시설입니다 완전 저렴한가격에 대만족이고요 굳이 아쉬운건  방음인데 아침에 옆방 모닝콜소리에 깨서 좀 황당했네요 ㅠ,100,80,100
0234c51d,9b0057ac,9d362a26,세인트존스 호텔,주중 룸UP 으로 디럭스더블룸 이용했습니다.지은지 얼마 안된 호텔이라 객실컨디션은 깔끔했었고침구 컨디션도 만족스럽습니다 다만..  배정받은 룸이 lake tower 11층이었는데 lake tower 의 경우에 밖으로 산책하러 걸어나오려해도 메인 로비쪽으로만 출입구가 있어서 아쉽더군요앙팡 빵집을 지나쳐서 로비로 나와야하는게 약간불편함을 느꼈네요,80,80,80
1c65a95b,9b0057ac,d89262a0,세인트존스 호텔,"인피니티풀에 클럽파티를 할 줄은 몰랐네여. 전 마스크끼고 갓는데 아무도 마스크안껴서 무서워서 사진만 찍고 바로 내려왔습니다.룸컨디션 좋았고, 가운에서 냄새가 좀 낫긴하지만 갠찮앗어요.",60,80,60
03f4c0d6,9b0057ac,f154ec1f,세인트존스 호텔,"전반적으로 너무 좋았습니다.호텔앞 해안산책로도 너무 좋았고 객실청결상태도참 좋았습니다.다만, 퇴실시에 엘리베이터수가 적고 엘리베이터 크기도 좀 작아서 퇴실시 엘리베이터앞에 기다리는 사람들이 많은건 좀 아쉽네요~",100,100,100
