,출생아수,사망자수,혼인건수,이혼건수
1981-01-01,88151,-,49285,1827
1981-02-01,93556,-,34481,1687
1981-03-01,70421,-,47843,2094
1981-04-01,66093,-,35956,2189
1981-05-01,68940,-,35769,2059
1981-06-01,64634,-,31132,2098
1981-07-01,67722,-,27408,2050
1981-08-01,69023,-,24845,2348
1981-09-01,68127,-,21743,2041
1981-10-01,69425,-,25016,2014
1981-11-01,70250,-,29663,1883
1981-12-01,71067,-,43654,1988
1982-01-01,93141,-,33471,1801
1982-02-01,94346,-,40031,2116
1982-03-01,70860,-,41150,2309
1982-04-01,66316,-,37638,2203
1982-05-01,64466,-,35466,2225
1982-06-01,63209,-,31182,2326
1982-07-01,64074,-,27124,2321
1982-08-01,64447,-,24680,2457
1982-09-01,64079,-,20152,2119
1982-10-01,68418,-,22916,2062
1982-11-01,66545,-,30406,2108
1982-12-01,68411,-,43252,2077
1983-01-01,86723.0,23147.0,37763.0,2178.0
1983-02-01,89422.0,20099.0,35454.0,1970.0
1983-03-01,61169.0,22632.0,42980.0,2431.0
1983-04-01,56581.0,21767.0,36991.0,2309.0
1983-05-01,57580.0,18412.0,37849.0,2318.0
1983-06-01,54972.0,17343.0,33558.0,2299.0
1983-07-01,57652.0,18088.0,28972.0,2505.0
1983-08-01,58611.0,19683.0,25307.0,2587.0
1983-09-01,59233.0,22250.0,21895.0,2390.0
1983-10-01,63446.0,23340.0,27361.0,2303.0
1983-11-01,63070.0,23524.0,38871.0,2391.0
1983-12-01,60696.0,24278.0,45983.0,2868.0
1984-01-01,78667.0,22625.0,33556.0,2812.0
1984-02-01,86565.0,20607.0,35969.0,3011.0
1984-03-01,50844.0,20558.0,37857.0,3177.0
1984-04-01,48969.0,18809.0,33789.0,2961.0
1984-05-01,48151.0,18026.0,38287.0,3144.0
1984-06-01,46690.0,17167.0,32222.0,3043.0
1984-07-01,50651.0,18010.0,27395.0,2968.0
1984-08-01,51756.0,17908.0,23252.0,3117.0
1984-09-01,52811.0,19784.0,21189.0,2835.0
1984-10-01,56946.0,22265.0,27899.0,2878.0
1984-11-01,53017.0,19431.0,34165.0,2968.0
1984-12-01,49726.0,21255.0,39608.0,2858.0
1985-01-01,72917.0,23576.0,37535.0,3065.0
1985-02-01,75291.0,18772.0,34042.0,2748.0
1985-03-01,48440.0,21149.0,41296.0,3433.0
1985-04-01,45366.0,21277.0,37115.0,3481.0
1985-05-01,47386.0,19413.0,36550.0,3344.0
1985-06-01,46209.0,17909.0,32159.0,3258.0
1985-07-01,50174.0,18647.0,28298.0,3426.0
1985-08-01,52437.0,18596.0,24291.0,3555.0
1985-09-01,51726.0,18472.0,17986.0,3106.0
1985-10-01,57499.0,21479.0,24577.0,3065.0
1985-11-01,54395.0,19248.0,30834.0,2855.0
1985-12-01,53649.0,21880.0,40003.0,2851.0
1986-01-01,69708.0,22924.0,36162.0,3191.0
1986-02-01,73659.0,20258.0,36522.0,2997.0
1986-03-01,48593.0,22144.0,38380.0,3465.0
1986-04-01,47880.0,20892.0,36333.0,3501.0
1986-05-01,47800.0,18495.0,37520.0,3377.0
1986-06-01,45245.0,17587.0,31120.0,2944.0
1986-07-01,48895.0,18167.0,27723.0,3332.0
1986-08-01,49608.0,17963.0,22861.0,3473.0
1986-09-01,50185.0,17666.0,19443.0,3174.0
1986-10-01,52638.0,20247.0,24908.0,3153.0
1986-11-01,52631.0,21973.0,33047.0,3009.0
1986-12-01,49177.0,20940.0,46210.0,3516.0
1987-01-01,66975.0,20536.0,33589.0,3032.0
1987-02-01,72652.0,19526.0,38536.0,3454.0
1987-03-01,46306.0,22378.0,38638.0,3802.0
1987-04-01,47635.0,21215.0,38095.0,3919.0
1987-05-01,47452.0,19366.0,36949.0,3496.0
1987-06-01,45605.0,18393.0,33157.0,3538.0
1987-07-01,46936.0,18556.0,26983.0,3554.0
1987-08-01,48582.0,20644.0,22720.0,3894.0
1987-09-01,50479.0,20714.0,21101.0,3642.0
1987-10-01,53605.0,20320.0,22635.0,3097.0
1987-11-01,50425.0,20242.0,35338.0,3497.0
1987-12-01,47179.0,21614.0,42535.0,3343.0
1988-01-01,69373.0,21065.0,41286.0,3610.0
1988-02-01,72415.0,19883.0,34862.0,3252.0
1988-03-01,43404.0,22019.0,44659.0,4146.0
1988-04-01,44318.0,20376.0,36305.0,3550.0
1988-05-01,46754.0,19152.0,38168.0,3643.0
1988-06-01,44489.0,17846.0,35316.0,3510.0
