Date,Money,Spending
1995-01-01,3492.4,4851.2
1995-02-01,3489.9,4850.8
1995-03-01,3491.1,4885.4
1995-04-01,3499.2,4890.2
1995-05-01,3524.2,4933.1
1995-06-01,3548.9,4977.5
1995-07-01,3567.4,4970.2
1995-08-01,3589.0,5005.3
1995-09-01,3602.1,5020.5
1995-10-01,3613.4,5013.9
1995-11-01,3619.9,5055.6
1995-12-01,3629.5,5097.5
1996-01-01,3647.9,5085.7
1996-02-01,3661.9,5132.8
1996-03-01,3687.0,5173.3
1996-04-01,3697.8,5208.0
1996-05-01,3709.7,5223.8
1996-06-01,3722.7,5229.8
1996-07-01,3737.3,5251.9
1996-08-01,3744.3,5275.0
1996-09-01,3753.7,5296.6
1996-10-01,3771.0,5328.5
1996-11-01,3790.2,5351.2
1996-12-01,3810.5,5378.6
1997-01-01,3824.8,5411.1
1997-02-01,3836.4,5434.0
1997-03-01,3851.3,5454.2
1997-04-01,3867.4,5459.3
1997-05-01,3879.2,5460.2
1997-06-01,3896.0,5494.2
1997-07-01,3913.9,5548.8
1997-08-01,3947.5,5587.0
1997-09-01,3963.2,5601.7
1997-10-01,3982.3,5637.7
1997-11-01,4004.8,5661.1
1997-12-01,4023.0,5692.1
1998-01-01,4046.3,5689.9
1998-02-01,4079.0,5723.8
1998-03-01,4104.6,5750.3
1998-04-01,4130.3,5788.1
1998-05-01,4154.2,5837.9
1998-06-01,4174.1,5871.7
1998-07-01,4193.8,5890.0
1998-08-01,4218.8,5925.0
1998-09-01,4257.7,5965.6
1998-10-01,4297.8,5998.8
1998-11-01,4336.8,6015.4
1998-12-01,4365.7,6070.5
1999-01-01,4393.1,6072.9
1999-02-01,4415.8,6101.8
1999-03-01,4422.7,6132.9
1999-04-01,4451.3,6196.2
1999-05-01,4475.5,6225.7
1999-06-01,4497.3,6254.0
1999-07-01,4524.6,6281.5
1999-08-01,4541.8,6326.5
1999-09-01,4557.9,6378.8
1999-10-01,4581.6,6402.1
1999-11-01,4600.6,6437.9
1999-12-01,4628.1,6538.7
2000-01-01,4656.3,6535.3
2000-02-01,4669.6,6619.7
2000-03-01,4700.4,6685.8
2000-04-01,4756.2,6671.1
2000-05-01,4743.7,6707.6
2000-06-01,4761.5,6743.9
2000-07-01,4779.0,6764.1
2000-08-01,4807.2,6799.1
2000-09-01,4842.8,6882.9
2000-10-01,4858.8,6888.2
2000-11-01,4869.7,6902.4
2000-12-01,4914.4,6945.7
2001-01-01,4965.0,6977.0
2001-02-01,5003.2,6995.8
2001-03-01,5061.1,6987.9
2001-04-01,5125.0,7001.2
2001-05-01,5121.8,7047.1
2001-06-01,5162.1,7060.7
2001-07-01,5192.0,7072.2
2001-08-01,5225.9,7108.9
2001-09-01,5336.5,7012.8
2001-10-01,5323.0,7208.4
2001-11-01,5366.5,7167.9
2001-12-01,5419.6,7147.7
2002-01-01,5440.1,7174.3
2002-02-01,5469.6,7218.3
2002-03-01,5481.6,7237.2
2002-04-01,5481.6,7305.4
2002-05-01,5507.2,7282.7
2002-06-01,5532.2,7318.2
2002-07-01,5574.8,7380.4
2002-08-01,5617.3,7401.5
2002-09-01,5641.8,7391.0
2002-10-01,5686.3,7430.7
2002-11-01,5736.3,7459.7
2002-12-01,5757.5,7512.8
2003-01-01,5790.4,7533.1
2003-02-01,5826.7,7535.9
2003-03-01,5847.3,7598.4
2003-04-01,5884.8,7621.0
2003-05-01,5945.1,7628.1
2003-06-01,5981.7,7678.6
2003-07-01,6028.4,7738.2
2003-08-01,6086.5,7834.5
2003-09-01,6058.3,7835.0
2003-10-01,6049.4,7845.7
2003-11-01,6054.5,7899.6
